engine_id,aircraft_id,flight_datetime,flight_phase,engine_position,n1_modifier,number_blades,engine_family,engine_type,manufacturer,ZHPTAC,ZLPTAC,ZPCN12,ZPCN25,ZPHSF,ZPHSR,ZPN12R,ZPOIL,ZPS3,ZT1AB,ZT3,ZT49,ZTAMB,ZTLA,ZTNAC,ZTOIL,ZVB1F,ZVB1R,ZVB2F,ZVB2R,ZVSV,ZWF36,IHPSOV,aircraft_family,aircraft_type,aircraft_grp,ac_manufacturer,AGW,CAS,IAI,IVS12,SAT,ZALT,ZT1A,ZVIAS,ZWBP1,ZWBP1_8E,ZWBP2,ZWBP2_8E,ZXM,IBE,IBP,IAIE
14aa1250a60229a6f0fc62e973fe757d076f897e4bc93a4238497af4fe06a00d,adb019dcde61d092941e0fec4e89b405130df238877e2611c330ae95a7266487,2022-02-08 03:50:15,TAKEOFF,1,6.0,36.0,CFM56-5B,CFM56-5B4,CFM INTERNATIONAL,,,83.4000015,93.3000031,248.0,16.0,,,,,,677.0,,,,,0.5,0.699999988,0.100000001,0.0500000005,,,,A320,A320-200,A320-214,AIRBUS,14127.2051,157.0,0.0,0.0,,2314.0,-2.9000001,,1.16844857,,1.19049489,,0.246999994,1.0,,1.0
6dc714d821a73d97c06143281b622c4e45c791985425c83cf95d770d99a8feef,31baf613cc66c483d5576812d060e54d64275325be437fc612646a0557cdb2de,2022-07-24 02:46:01,CRUISE,2,0.0,28.0,CF34-8E,CF34-8E5,GE AIRCRAFT ENGINES,,,81.3592987,82.9842987,,,87.125,67.7142029,114.5,-21.7968006,385.187012,708.875,-44.2000008,55.875,,92.0047989,0.349608988,,,0.652342975,0.3125,1733.87,0.0,EMBRAER RJ,ERJ170,EMBRAER 170-100,EMBRAER,,,,,,31001.0,-21.1000004,261.299988,,28.8281002,,26.4062004,0.711000025,1.0,1.0,0.0
dda2a4e5f8b7c39356d9da1279e61b44bf4362c6cf46a0421d1265e6e9b176ed,47ea147feec375157fdc4ef94bce6803be3f847399e52aab06d2414ce2ea6b92,2022-05-31 22:40:14,TAKEOFF,2,6.0,36.0,CFM56-5B,CFM56-5B4,CFM INTERNATIONAL,,,84.9000015,95.8000031,342.0,34.0,,,,,,698.0,,,,,0.699999988,0.200000003,0.100000001,0.100000001,,,,A320,A320-200,A320-214,AIRBUS,14063.2705,158.0,0.0,0.0,,932.0,17.5,,0.0881847963,,0.0881847963,,0.241999999,0.0,,0.0
f5a5af90e581be9a4b812c1000c5a9fa938741889bab629817a4f48b5aaca69c,30c6570a99d5554ca6975f2ca386e7d3af1b3b92dc063e0d34d90223f5d2e7dd,2022-05-25 23:50:56,CRUISE,2,5.0,36.0,CFM56-5B,CFM56-5B4,CFM INTERNATIONAL,94.0,98.0,86.4000015,95.0,177.0,81.0,,42.0,,,,661.0,,,81.0,89.0,0.0,0.300000012,0.5,0.100000001,1.70000005,2711.68262,,A320,A320-200,A320-214,AIRBUS,14632.0625,248.0,,0.0,,37002.0,-15.3999996,,0.925940394,,0.925940394,,0.768999994,1.0,,
364a94e57c5e7705c650bdadda955186d3a8f9d96a3d9ec0f32964ef9c09b494,86b6b690d8ede50869aa2562b655a65abd786d169572b4060391d545788f3b25,2022-06-29 22:08:24,CRUISE,1,4.0,24.0,CFM56-7,CFM56-7B27/B1,CFM INTERNATIONAL,,,89.8799973,93.6900024,,,,49.0,,,,674.0,,,,99.0,0.439999998,,,,,2712.69995,,B737,B737-800,B737-83N,BOEING,139166.906,,,0.0,5.0,37025.8008,-20.75,,,,,,0.780700028,1.0,1.0,
d2ba0263d717e3f26c9101194229a887a29dcbaf730c8fa317a27709b3aa9e42,7a8843ad8fc77c64ee93351cfe55a2c82284a4674a7f7b931a1457a7dee9cebd,2022-06-10 22:47:43,TAKEOFF,2,0.0,24.0,CFM56-7,CFM56-7B26,CFM INTERNATIONAL,,,95.25,98.6299973,,,,,,,,830.0,,,,,0.560000002,1.04900002,0.109999999,0.0700000003,,,,B737,B737-800,B737-8LP,BOEING,74.4029999,179.029999,0.0,0.0,25.0,1258.90002,26.3199997,,,,,,0.275299996,1.0,1.0,0.0
17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,ac5a9ee6985da1ed0780c817d7ac0cc5ec571d9c55f56cc453ffce5f9108d71e,2022-06-29 03:54:51,TAKEOFF,2,0.0,28.0,CF34-8E,CF34-8E5,GE AIRCRAFT ENGINES,,,85.5936966,90.125,,,83.5781021,76.0317001,285.375,29.6875,498.5,830.125,26.2999992,75.625,,80.5298996,0.716795981,,,0.507812023,0.875,4498.0,0.0,EMBRAER RJ,ERJ170,EMBRAER 170-100,EMBRAER,,,0.0,,,833.0,30.3999996,171.300003,,45.0,,45.2420998,0.263000011,1.0,1.0,0.0
2813cc69b6a3813712a16a86bea9f40e037279cb36ef23209e04d5bc89f810bf,467295d533d5ee94a8265c44774fe307ad915b29096dda9a6c3b62b48c7bb3ab,2022-07-15 18:02:49,CRUISE,1,0.0,28.0,CF34-8E,CF34-8E5,GE AIRCRAFT ENGINES,,,78.3906021,81.5311966,,,84.2656021,64.158699,102.686996,-23.8281002,363.375,646.75,-43.0,52.4062004,,89.3845978,0.814453006,,,0.982420981,1.0,1555.62,0.0,EMBRAER RJ,ERJ170,EMBRAER 170-100,EMBRAER,,,,,,31000.0,-23.5,238.300003,,36.4920998,,33.2812004,0.65200001,1.0,1.0,0.0
9c8cd934ffbca8d075e1c2b0e70015dff7ee31e54ead92a33a972c9aa2aedfa3,8b013b1be61b0047e5a6ea6771810d71f987831f5c93293fb7a2b6f458a41f35,2022-02-27 22:53:26,CRUISE,2,3.0,36.0,CFM56-5B,CFM56-5B4,CFM INTERNATIONAL,86.0,62.0,73.5999985,89.6999969,57.0,174.0,,43.0,,,,541.0,,,105.0,79.0,0.100000001,0.300000012,0.300000012,0.0,4.69999981,2841.75513,,A320,A320-200,A320-214,AIRBUS,13468.0234,287.0,,0.0,,21002.0,-7.19999981,,1.10230994,,1.10230994,,0.635999978,1.0,,
57b8a89be497016560cb94e201d0b0b5249b279ba35a3f1ceda453eb326ddce8,a0119e19d7f710c158729bc4153a6996e891b54664262b502c7be665e0f2f042,2022-07-19 04:38:31,CRUISE,1,4.0,36.0,CFM56-5B,CFM56-5B3,CFM INTERNATIONAL,100.0,99.0,85.5,93.5,183.0,247.0,,45.0,,,,628.700012,,,86.0,80.0,0.100000001,0.100000001,0.100000001,0.0,2.29999995,3117.33276,,A320,A321-200,A321-211,AIRBUS,15408.0889,272.0,,0.0,,32993.0,-20.3999996,,1.16844857,,1.16844857,,0.76700002,1.0,,
