flight_datetime,flight_phase,engine_id,BRAT,DEGT,DELFN,DELN1,DELVSV,DPOIL,EGTC,EGTHDM,EGTHDM_D,GEGTMC,GN2MC,GPCN25,GWFM,PCN12,PCN12I,PCN1AR,PCN1BR,PCN1K,PCN2C,SLOATL,SLOATL_D,VSVNOM,WBE,WBI,WFMP,ZPCN25_D,ZT49_D,ZTLA_D,ZTNAC_D,ZWF36_D
2022-02-08 03:50:15,TAKEOFF,14aa1250a60229a6f0fc62e973fe757d076f897e4bc93a4238497af4fe06a00d,0.920895994,,18.7603588,6.45729113,,,,72.1869583,2.43015289,,,,,82.6244049,83.4000015,85.3168411,86.0242081,85.22966,,66.6986618,0.811759949,,1.16845,,,0.0500030518,-2.0,,,
2022-07-24 02:46:01,CRUISE,6dc714d821a73d97c06143281b622c4e45c791985425c83cf95d770d99a8feef,1.0,24.1168213,,,,,684.758179,,,,,0.202451006,5.15137911,86.0219803,86.0084076,,,91.8402405,86.8113022,,,,,0.0,1648.92749,0.125,8.0625,0.03125,,9.375
2022-05-31 22:40:14,TAKEOFF,dda2a4e5f8b7c39356d9da1279e61b44bf4362c6cf46a0421d1265e6e9b176ed,0.0,,21.4713268,7.32146502,,,,84.8469391,9.95930481,,,,,84.0966415,84.9000015,83.7341461,84.5451736,83.7444153,,70.9970398,3.35881042,,,,,-0.0500030518,-9.0,,,
2022-05-25 23:50:56,CRUISE,f5a5af90e581be9a4b812c1000c5a9fa938741889bab629817a4f48b5aaca69c,0.893764019,-16.2119141,,,1.70000005,-23.3600006,677.211914,68.026741,,130.211899,2.91033912,0.28966099,-4.63999796,86.4000015,86.4000015,,,91.0996704,94.7256165,65.2487793,,0.0,0.925939977,-0.106236003,2843.62402,-0.0999984741,3.79998779,,-16.5,-5.51171875
2022-06-29 22:08:24,CRUISE,364a94e57c5e7705c650bdadda955186d3a8f9d96a3d9ec0f32964ef9c09b494,1.0,25.9602051,,,,-15.0869598,648.039795,30.742485,,56.0398026,2.08273292,0.0172669999,1.99206901,89.8799973,89.8799973,,,95.6535568,93.6738281,39.2758408,,,,1.0,2659.71655,-0.0299987793,5.0,,,-35.6501465
2022-06-10 22:47:43,TAKEOFF,d2ba0263d717e3f26c9101194229a887a29dcbaf730c8fa317a27709b3aa9e42,1.0,,10.6527443,4.36813402,,,,53.8521042,-3.93033218,,,,,95.25,95.25,93.4324265,93.5107651,93.5107727,,46.6929665,-1.28934097,,,,,0.0250015259,4.0,,,
2022-06-29 03:54:51,TAKEOFF,17347326abdfbcd8acc523a9069dba5f770f1f65ca9b2138d4dc8d0bbccd3b76,1.0,,,,,,,69.4691849,8.03060532,,,,,90.5777969,,,,88.3310776,,49.6366463,2.3768158,,,,,0.0156555176,-8.1875,,,-25.6850586
2022-07-15 18:02:49,CRUISE,2813cc69b6a3813712a16a86bea9f40e037279cb36ef23209e04d5bc89f810bf,1.0,-0.199828997,,,,,646.949829,,,,,0.128563002,10.5587082,82.861908,82.8700714,,,88.8614197,85.354126,,,,,0.0,1407.05334,-0.0156478882,-13.1875,0.0625,,55.8099365
2022-02-27 22:53:26,CRUISE,9c8cd934ffbca8d075e1c2b0e70015dff7ee31e54ead92a33a972c9aa2aedfa3,0.988457024,-37.6480713,,,4.69999981,-16.5970955,578.648071,95.8747711,,151.648102,4.56021976,-1.36021602,-15.7530336,73.5999985,73.5999985,,,76.5760498,90.9369354,73.5345001,,0.0,1.10230994,-0.0115430001,3373.13037,0.0500030518,3.5,,1.0,9.9206543
2022-07-19 04:38:31,CRUISE,57b8a89be497016560cb94e201d0b0b5249b279ba35a3f1ceda453eb326ddce8,0.885188997,-22.8744507,,,2.29999995,-18.9217377,651.574463,49.6388664,,79.8744965,2.172364,-0.272363991,-7.0574708,85.5,85.5,,,90.9957886,93.7553558,44.6428604,,0.0,1.16845,-0.114811003,3354.04053,0.0,3.75,,5.5,38.5808105
2022-06-01 09:04:07,TAKEOFF,5c888c9071d8873444bf7b6c46f7a860929703f66a89ceee7402653e6e96c500,1.0,,,,,,,59.0787544,22.6639709,,,,,89.584137,,,,88.8878326,,46.5459557,6.42175674,,,,,0.226554871,-21.3125,,,-10.875
2022-04-25 04:02:39,CRUISE,8795a3b0ee5404d35e8c3d2ad94a55b22f7b2e568efba04b2c23d94a3c4dfbd4,1.0,19.4504395,,,,-12.1442871,596.449585,48.97784425,,62.5495987,2.29964995,-0.199650005,1.47164297,86.1200027,86.1200027,,,93.1886826,91.182045,44.7840786,,,,1.0,2474.87866,0.0599975586,-4.54998779,,,-8.34985352
2022-05-21 00:34:40,CRUISE,1d5abbe2a96483ea172b32ecce512c7de77a1c1adf2d8cc7e22816dc09a9e4dd,1.0,18.9194336,,,,-12.033329,585.080566,62.357769,,65.0805969,2.39611793,-0.196117997,0.238785997,85.25,85.25,,,93.076416,90.307106,49.2943192,,,,1.0,2302.70142,0.125,4.0,,,18.0998535
2022-01-24 21:54:16,TAKEOFF,ec189cd9e8f2bab154fc6345761fff4ca4b796c1fb00db6c9199b1e056fafebc,1.0,,15.1380997,5.86065722,,,,20.6718311,-3.24907494,,,,,89.0,89.0,91.8322601,91.7263947,91.7263947,,36.2142334,-1.00102997,,,,,0.125,3.5,,,
2022-05-14 23:12:53,TAKEOFF,3e53393060da1c8f955ddbb49902282adef3cefe0f901f82677de4f485e5b179,1.0,,8.71653175,3.66267395,,,,24.7124977,-3.36719513,,,,,94.6200027,94.6200027,94.293335,94.3086395,94.3086395,,37.4563408,-1.04535294,,,,,0.0650024414,3.0,,,
2022-06-19 04:57:15,CRUISE,df30585e1be88075abd4e8335e07e4c0eebf4a4d9fff230e8d71ebd858269783,1.0,7.71386719,,,,-16.0927544,641.286133,61.9917641,,76.2861328,2.50530195,-0.305301994,-0.566412985,89.75,89.75,,,96.2588882,93.0340347,49.0623055,,,,1.0,2574.58276,0.0,-6.0,,,0.0
2022-05-13 04:48:28,CRUISE,34f11b9916038d00be5315931a0486f133c27f427829ae5df8249593e4f12c52,0.893764019,-5.38793898,,,3.5999999,-23.8347816,651.487915,44.3077087,,119.387939,3.48863196,-0.288632005,-5.27288198,84.5999985,84.5999985,,,89.60952,93.6703644,57.64534,,0.0,0.925939977,-0.106236003,2643.85742,0.0,3.09997559,,-1.0,16.534668
2022-06-27 12:07:47,CRUISE,028863d05727f3cd71c448ce2a814b88b7b0be149446550245316b1ccfc3eb29,0.893764019,-21.0883179,,,2.20000005,-24.3600006,680.28833,73.6636047,,135.088303,3.37679291,-0.176792994,-6.39413786,86.0999985,86.0999985,,,89.9747849,95.168251,66.8087997,,0.0,0.925939977,-0.106236003,2856.87231,-0.0500030518,-6.14996338,,0.0,-20.9438477
2022-04-25 02:12:56,CRUISE,f5c7d19cb8e54021d7c60a5bf9d8c430867c14e524a0bf93309452b30a8d60c2,0.893764019,-12.0732422,,,2.29999995,-22.3202858,626.073242,53.0760956,,126.073196,3.29542589,-0.0954260007,-5.51477289,84.0,84.0,,,90.9197998,92.0878754,60.4249496,,0.0,0.925939977,-0.106236003,2743.95264,-0.0500030518,0.5,,-10.0,1.10229492
2022-07-23 02:33:23,CRUISE,b0e42606985470f2e2d77f1ad14bdd391637cc1f5c220b6d8510e285f55a1c48,1.0,8.70654297,,,,,775.668457,,,,,0.0492260009,1.94681001,92.0684204,92.0044174,,,97.4402618,89.9074097,,,,,0.0,1978.97314,0.00785064697,2.375,-0.0468521118,,12.0
2022-07-07 07:32:09,CRUISE,bf23db5ac85aa359c82cb8a18b0d0ce406fc40272a9b009ee01d62a88d4cfc61,1.0,-6.43054199,,,,,722.180542,,,,,0.614125013,2.25368595,89.0024796,88.9982224,,,96.2587585,87.4654388,,,,,0.0,1698.83362,0.328147888,-3.125,-0.0156517029,,-4.25
